driver_name,driver_id,manufacturer,car_number,lap_number,running_position,lap_speed,lap_time,team,playoffs,points_ineligible,starting_position,finish_position,statuses
Chase Elliott,4062,Chv,9,189,24,112.905,23.914,Hendrick Motorsports,False,False,5,38,restart
Shane Van Gisbergen,4469,Chv,88,5,26,112.900,23.915,Trackhouse Racing,False,False,27,14,green
Ryan Preece,4070,Frd,60,218,5,112.895,23.916,RFK Racing,False,False,1,35,green
Corey Heim,4387,Tyt,67,3,34,112.895,23.916,23XI Racing,False,True,32,29,green
Zane Smith,4272,Frd,38,42,22,112.890,23.917,Front Row Motorsports,False,False,29,11,green
Cole Custer,4104,Frd,41,305,27,112.890,23.917,Haas Factory Team,False,False,24,24,green
Todd Gilliland,4231,Frd,34,5,33,112.890,23.917,Front Row Motorsports,False,False,31,25,green
Joey Logano,3859,Frd,22,133,4,112.886,23.918,Team Penske,False,False,38,4,green
Chris Buescher,3989,Frd,17,355,23,112.886,23.918,RFK Racing,False,False,12,30,green
Denny Hamlin,1361,Tyt,11,83,36,112.886,23.918,Joe Gibbs Racing,False,False,4,10,green
Denny Hamlin,1361,Tyt,11,215,14,112.886,23.918,Joe Gibbs Racing,False,False,4,10,green
Chase Briscoe,4228,Tyt,19,190,12,112.881,23.919,Joe Gibbs Racing,False,False,19,13,green
Kyle Larson,4030,Chv,5,4,30,112.881,23.919,Hendrick Motorsports,False,False,30,6,green
Josh Berry,4123,Frd,21,295,2,112.881,23.919,Wood Brothers Racing,False,False,17,8,green
Ty Dillon,4013,Chv,10,133,25,112.881,23.919,Kaulig Racing,False,False,16,20,green
Jesse Love,4463,Chv,33,286,36,112.881,23.919,Richard Childress Racing,False,True,35,33,green
Justin Haley,4172,Chv,7,83,26,112.876,23.920,Spire Motorsports,False,False,25,37,green
Zane Smith,4272,Frd,38,40,22,112.876,23.920,Front Row Motorsports,False,False,29,11,green
Austin Dillon,3873,Chv,3,45,12,112.872,23.921,Richard Childress Racing,False,False,11,1,green
Bubba Wallace,4025,Tyt,23,221,1,112.872,23.921,23XI Racing,False,False,7,28,green
Shane Van Gisbergen,4469,Chv,88,188,29,112.872,23.921,Trackhouse Racing,False,False,27,14,caution
Kyle Busch,454,Chv,8,331,28,112.872,23.921,Richard Childress Racing,False,False,28,16,green
Erik Jones,4059,Tyt,43,131,21,112.867,23.922,Legacy Motor Club,False,False,18,26,green
Jesse Love,4463,Chv,33,82,27,112.867,23.922,Richard Childress Racing,False,True,35,33,green
Chase Elliott,4062,Chv,9,132,20,112.867,23.922,Hendrick Motorsports,False,False,5,38,green
Ty Dillon,4013,Chv,10,83,27,112.867,23.922,Kaulig Racing,False,False,16,20,green
Denny Hamlin,1361,Tyt,11,352,8,112.862,23.923,Joe Gibbs Racing,False,False,4,10,green
Denny Hamlin,1361,Tyt,11,245,20,112.857,23.924,Joe Gibbs Racing,False,False,4,10,green
Alex Bowman,4045,Chv,48,214,7,112.857,23.924,Hendrick Motorsports,False,False,9,2,restart
Chris Buescher,3989,Frd,17,245,22,112.857,23.924,RFK Racing,False,False,12,30,green
Denny Hamlin,1361,Tyt,11,297,11,112.857,23.924,Joe Gibbs Racing,False,False,4,10,green
Carson Hocevar,4326,Chv,77,219,10,112.857,23.924,Spire Motorsports,False,False,15,15,green
Shane Van Gisbergen,4469,Chv,88,241,19,112.857,23.924,Trackhouse Racing,False,False,27,14,restart
Ty Dillon,4013,Chv,10,190,25,112.853,23.925,Kaulig Racing,False,False,16,20,green
Kyle Busch,454,Chv,8,327,29,112.848,23.926,Richard Childress Racing,False,False,28,16,green
Zane Smith,4272,Frd,38,359,14,112.848,23.926,Front Row Motorsports,False,False,29,11,green
Shane Van Gisbergen,4469,Chv,88,131,19,112.843,23.927,Trackhouse Racing,False,False,27,14,green
Chase Briscoe,4228,Tyt,19,242,26,112.843,23.927,Joe Gibbs Racing,False,False,19,13,green
Ty Gibbs,4368,Tyt,54,241,16,112.839,23.928,Joe Gibbs Racing,False,False,23,18,restart
Joey Logano,3859,Frd,22,80,15,112.839,23.928,Team Penske,False,False,38,4,restart
Michael McDowell,3832,Chv,71,5,12,112.839,23.928,Spire Motorsports,False,False,10,17,green
Kyle Larson,4030,Chv,5,216,9,112.839,23.928,Hendrick Motorsports,False,False,30,6,green
Josh Berry,4123,Frd,21,215,15,112.834,23.929,Wood Brothers Racing,False,False,17,8,green
Justin Haley,4172,Chv,7,132,34,112.829,23.930,Spire Motorsports,False,False,25,37,green
Justin Haley,4172,Chv,7,80,25,112.829,23.930,Spire Motorsports,False,False,25,37,restart
Daniel Suarez,4113,Chv,99,354,6,112.824,23.931,Trackhouse Racing,False,False,21,7,green
Shane Van Gisbergen,4469,Chv,88,345,19,112.824,23.931,Trackhouse Racing,False,False,27,14,green
Erik Jones,4059,Tyt,43,289,27,112.824,23.931,Legacy Motor Club,False,False,18,26,green
Ty Dillon,4013,Chv,10,349,23,112.824,23.931,Kaulig Racing,False,False,16,20,green
Carson Hocevar,4326,Chv,77,289,13,112.820,23.932,Spire Motorsports,False,False,15,15,green
Kyle Busch,454,Chv,8,38,27,112.820,23.932,Richard Childress Racing,False,False,28,16,green
Noah Gragson,4224,Frd,4,132,26,112.815,23.933,Front Row Motorsports,False,False,22,27,green
Ryan Blaney,4023,Frd,12,136,12,112.810,23.934,Team Penske,False,False,20,3,green
Daniel Suarez,4113,Chv,99,47,18,112.810,23.934,Trackhouse Racing,False,False,21,7,green
Ricky Stenhouse Jr.,3888,Chv,47,83,31,112.810,23.934,HYAK Motorsports,False,False,36,23,green
Austin Cindric,4180,Frd,2,305,11,112.810,23.934,Team Penske,False,False,13,5,green
Todd Gilliland,4231,Frd,34,80,24,112.806,23.935,Front Row Motorsports,False,False,31,25,restart
Kyle Busch,454,Chv,8,330,29,112.806,23.935,Richard Childress Racing,False,False,28,16,green
Erik Jones,4059,Tyt,43,133,21,112.796,23.937,Legacy Motor Club,False,False,18,26,green
Ryan Preece,4070,Frd,60,216,5,112.796,23.937,RFK Racing,False,False,1,35,green
Erik Jones,4059,Tyt,43,352,25,112.791,23.938,Legacy Motor Club,False,False,18,26,green
Brad Keselowski,1816,Frd,6,51,19,112.791,23.938,RFK Racing,False,False,6,9,green
Austin Cindric,4180,Frd,2,7,11,112.791,23.938,Team Penske,False,False,13,5,green
Daniel Suarez,4113,Chv,99,220,2,112.791,23.938,Trackhouse Racing,False,False,21,7,green
Christopher Bell,4153,Tyt,20,43,10,112.791,23.938,Joe Gibbs Racing,False,False,8,21,green
Austin Cindric,4180,Frd,2,135,9,112.791,23.938,Team Penske,False,False,13,5,green
Alex Bowman,4045,Chv,48,300,8,112.791,23.938,Hendrick Motorsports,False,False,9,2,green
Josh Berry,4123,Frd,21,44,16,112.787,23.939,Wood Brothers Racing,False,False,17,8,green
Cole Custer,4104,Frd,41,5,24,112.787,23.939,Haas Factory Team,False,False,24,24,green
Cody Ware,4125,Frd,51,272,36,112.787,23.939,Rick Ware Racing,False,False,37,32,green
Denny Hamlin,1361,Tyt,11,353,7,112.787,23.939,Joe Gibbs Racing,False,False,4,10,green
Kyle Larson,4030,Chv,5,84,13,112.782,23.940,Hendrick Motorsports,False,False,30,6,green
Tyler Reddick,4065,Tyt,45,136,3,112.782,23.940,23XI Racing,False,False,2,34,green
Ty Gibbs,4368,Tyt,54,298,18,112.782,23.940,Joe Gibbs Racing,False,False,23,18,green
Bubba Wallace,4025,Tyt,23,88,1,112.782,23.940,23XI Racing,False,False,7,28,green
William Byron,4184,Chv,24,300,3,112.777,23.941,Hendrick Motorsports,False,False,14,12,green
Ty Gibbs,4368,Tyt,54,188,33,112.777,23.941,Joe Gibbs Racing,False,False,23,18,caution
Kyle Larson,4030,Chv,5,215,9,112.773,23.942,Hendrick Motorsports,False,False,30,6,green
Ryan Blaney,4023,Frd,12,359,2,112.773,23.942,Team Penske,False,False,20,3,green
Austin Dillon,3873,Chv,3,355,1,112.773,23.942,Richard Childress Racing,False,False,11,1,green
Ty Dillon,4013,Chv,10,244,21,112.773,23.942,Kaulig Racing,False,False,16,20,green
Kyle Busch,454,Chv,8,217,11,112.773,23.942,Richard Childress Racing,False,False,28,16,green
Christopher Bell,4153,Tyt,20,88,2,112.768,23.943,Joe Gibbs Racing,False,False,8,21,green
Brad Keselowski,1816,Frd,6,85,6,112.768,23.943,RFK Racing,False,False,6,9,green
Jesse Love,4463,Chv,33,42,29,112.768,23.943,Richard Childress Racing,False,True,35,33,green
William Byron,4184,Chv,24,218,15,112.768,23.943,Hendrick Motorsports,False,False,14,12,green
Ty Gibbs,4368,Tyt,54,365,26,112.763,23.944,Joe Gibbs Racing,False,False,23,18,green
